City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
113,Manzanillo,CU,68.18,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
115,Port Elizabeth,ZA,70.09,few clouds,-33.918,25.5701,39 On Nile Guest House
116,Cabo San Lucas,MX,77.61,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
120,Geraldton,AU,73.81,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
121,Salalah,OM,68.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
122,Comodoro Rivadavia,AR,60.66,few clouds,-45.8667,-67.5,Austral Hotel
123,Nabire,ID,78.28,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
124,Kapaa,US,80.47,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
125,Natal,BR,79.45,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
126,Cape Town,ZA,72.12,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
128,Tabou,CI,79.12,few clouds,4.423,-7.3528,hotêl doufoulougou
129,Lebu,CL,58.21,clear sky,-37.6167,-73.65,Hostal Las Lilas
131,Kingaroy,AU,78.06,overcast clouds,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
132,Brownwood,US,69.12,clear sky,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
133,Esperance,AU,67.84,scattered clouds,-33.8667,121.9,Hospitality Esperance
134,Dakar,SN,70.68,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
137,Camacha,PT,61.56,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
138,Shakawe,BW,66.61,light rain,-18.3667,21.85,Ditlhapi Guest House
139,Bengkulu,ID,75.85,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
140,San Patricio,US,68.09,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
141,Souillac,MU,79.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
143,Tucuru,GT,73.08,overcast clouds,15.3,-90.0667,
146,Rocha,UY,67.93,clear sky,-34.4833,-54.3333,Hotel Arrarte
149,Ancud,CL,60.42,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
151,Kaitangata,NZ,69.93,few clouds,-46.2817,169.8464,Kaitangata Motor Camp
154,Bredasdorp,ZA,69.28,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
156,Porto Feliz,BR,69.39,overcast clouds,-23.2147,-47.5239,Sitio Do Campo
158,Buin,CL,79.12,clear sky,-33.7333,-70.75,Paihuen
160,Teyateyaneng,LS,61.14,light rain,-29.1472,27.7489,Blue Mountain Inn
162,Yangambi,CD,71.73,overcast clouds,0.8102,24.4336,
167,Buraydah,SA,55.85,overcast clouds,26.326,43.975,فندق راحة السلام
172,Bluff,NZ,71.8,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
173,Save,BJ,78.87,overcast clouds,8.0425,2.486,Le Cercle du Rail
174,Mahebourg,MU,79.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
176,Rockhampton,AU,84.09,few clouds,-23.3833,150.5,Mercure Rockhampton
178,Faya,SA,55.51,few clouds,18.3851,42.4509,املاك خالد الشعشوع
179,Melbourne,US,51.96,clear sky,28.0836,-80.6081,"Hilton Melbourne, FL"
180,Saint-Pierre,RE,76.68,few clouds,-21.3393,55.4781,Lindsey Hôtel
181,Lagoa,PT,58.78,broken clouds,39.05,-27.9833,Casa Das Faias
182,Pacasmayo,PE,71.55,overcast clouds,-7.4006,-79.5714,El Sol de Pacasmayo Hotel
183,Ixtapa,MX,75.22,clear sky,20.7,-105.2,Hotel Plaza Providencia
184,Antalaha,MG,74.68,few clouds,-14.9003,50.2788,Hotel Vitasoa
185,Byron Bay,AU,82.87,broken clouds,-28.65,153.6167,Backpackers Inn
186,Kavaratti,IN,81.21,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
187,Adrar,MR,73.2,overcast clouds,20.5022,-10.0711,
188,Ulladulla,AU,82.87,clear sky,-35.35,150.4667,Sandpiper Motel
189,Brawley,US,79.05,clear sky,32.9787,-115.5303,Brawley Inn Hotel & Conference Center
191,Bairiki,KI,87.8,light rain,1.3292,172.9752,Tarawa Boutique Hotel
192,Hithadhoo,MV,81.55,broken clouds,-0.6,73.0833,Scoop Guest House
193,Mareeba,AU,86.32,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
194,Mar Del Plata,AR,67.87,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
197,Pokaran,IN,61.57,clear sky,26.9167,71.9167,Motel Pokaran - RTDC
199,Mulege,MX,66.7,overcast clouds,26.8833,-111.9833,Casa Granada
200,Ewo,CG,79.54,overcast clouds,-0.8725,14.8206,Residence Elonda Ewo
201,Imbituba,BR,74.82,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
202,Carora,VE,78.15,broken clouds,10.1755,-70.0827,Hotel Irpinia
203,Carnarvon,AU,80.67,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
204,Progreso,MX,71.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
207,San Quintin,MX,62.67,clear sky,30.4833,-115.95,Don Eddie's Landing
208,Ratnagiri,IN,69.57,clear sky,16.9833,73.3,Hotel Landmark
209,Miraflores,MX,72.03,clear sky,19.2167,-98.8083,Hotel Mansión
215,Merauke,ID,83.03,overcast clouds,-8.4667,140.3333,
216,Banjar,ID,82.26,overcast clouds,-8.19,114.9675,The Hamsa Resort
217,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
218,Nouadhibou,MR,64.38,overcast clouds,20.931,-17.0347,El Medina
219,Chuy,UY,70.97,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
220,Portland,US,54.36,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
226,Castro,BR,62.76,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
228,Cidreira,BR,73.76,clear sky,-30.1811,-50.2056,Hotel Castelo
231,Poum,NC,80.49,overcast clouds,-20.2333,164.0167,Gîte kajeon
234,Presidencia Roque Saenz Pena,AR,81.43,clear sky,-26.7852,-60.4388,Hotel Gualok
235,Yeppoon,AU,83.98,scattered clouds,-23.1333,150.7333,Villa Mar Colina
236,Huarmey,PE,71.22,overcast clouds,-10.0681,-78.1522,Hotel Miramar
240,Gusau,NG,65.35,broken clouds,12.1628,6.6614,GUEST INN
241,Butaritari,KI,82.04,light rain,3.0707,172.7902,Isles Sunset Lodge
244,Caucaia,BR,83.03,clear sky,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
245,Cao Bang,VN,50.16,overcast clouds,22.6667,106.25,khách sạn 88
249,Mount Gambier,AU,66.11,overcast clouds,-37.8333,140.7667,The Commodore
251,Mushie,CD,74.88,overcast clouds,-3.0167,16.9,
252,East London,ZA,74.16,overcast clouds,-33.0153,27.9116,Tu Casa
254,Maues,BR,72.95,light rain,-3.3836,-57.7186,Hotel Miramar
256,Kruisfontein,ZA,65.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
258,Kishi,NG,74.37,overcast clouds,9.0833,3.85,New NCCF KISI
259,Todos Santos,MX,77.11,broken clouds,23.45,-110.2167,Hotel California Todos Santos
260,Port Blair,IN,68.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
262,Alofi,NU,73.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
263,Vao,NC,79.18,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
264,Ponta Do Sol,PT,65.12,clear sky,32.6667,-17.1,Hotel do Campo
265,Lompoc,US,71.08,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
266,Ilhabela,BR,74.52,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
270,Kampene,CD,69.51,overcast clouds,-3.6,26.6667,
273,Kisangani,CD,73.92,overcast clouds,0.5167,25.2,Grand Ramela Hotel
274,Axim,GH,77.9,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
275,Corsicana,US,68.18,clear sky,32.0954,-96.4689,"Holiday Inn Express & Suites Corsicana I-45, an IHG Hotel"
277,Naze,JP,50.92,overcast clouds,28.3667,129.4833,Shishime Hotel
279,Najran,SA,57.85,few clouds,17.4924,44.1277,محمد هادي ال فطيح
282,Lafia,NG,72.79,overcast clouds,8.4833,8.5167,Low Cost Housing Estate
283,Mersing,MY,78.71,overcast clouds,2.4312,103.8405,Timotel Hotel
