City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Kaili,-3.4626,120.2147,79.41,71,100,3.42,ID,2022-01-27 04:32:49
68,Punta Arenas,-53.15,-70.9167,50.11,76,40,21.85,CL,2022-01-27 04:31:40
69,Wajir,1.7471,40.0573,74.95,64,33,14.74,KE,2022-01-27 04:32:49
70,Kodiak,57.79,-152.4072,36.91,81,100,12.66,US,2022-01-27 04:32:50
71,Hurghada,27.2574,33.8129,47.82,59,2,14.38,EG,2022-01-27 04:32:50
72,Cape Town,-33.9258,18.4232,65.12,82,0,1.99,ZA,2022-01-27 04:29:24
73,Airai,-8.9266,125.4092,73.27,63,87,5.66,TL,2022-01-27 04:28:40
74,Banepa,27.6298,85.5214,48.52,71,20,3.44,NP,2022-01-27 04:32:51
75,Sulangan,11.1373,123.7228,82.24,79,51,7.74,PH,2022-01-27 04:32:51
76,Hilo,19.7297,-155.09,73.13,77,40,3.44,US,2022-01-27 04:32:09
77,Georgetown,5.4112,100.3354,88.9,73,20,1.99,MY,2022-01-27 04:32:51
78,Nhulunbuy,-12.2333,136.7667,88.41,70,40,10.36,AU,2022-01-27 04:32:52
79,Nuevo Progreso,23.1667,-97.95,67.59,77,90,2.75,MX,2022-01-27 04:32:52
80,Nome,64.5011,-165.4064,-18.33,76,0,0.0,US,2022-01-27 04:32:54
81,Faanui,-16.4833,-151.75,80.94,77,29,17.49,PF,2022-01-27 04:32:54
82,Vao,-22.6667,167.4833,78.37,83,69,19.08,NC,2022-01-27 04:32:54
83,Piacabucu,-10.4056,-36.4344,76.66,85,23,6.38,BR,2022-01-27 04:32:55
84,Chuy,-33.6971,-53.4616,69.21,84,87,17.27,UY,2022-01-27 04:32:55
85,Cayenne,4.9333,-52.3333,75.24,94,75,3.44,GF,2022-01-27 04:31:05
86,Port Alfred,-33.5906,26.891,72.95,90,76,5.01,ZA,2022-01-27 04:32:55
87,Atuona,-9.8,-139.0333,78.73,78,11,19.22,PF,2022-01-27 04:32:56
88,Chernyshevskiy,63.0128,112.4714,-8.23,92,80,4.03,RU,2022-01-27 04:32:56
89,Imphal,24.8167,93.95,55.31,94,75,2.3,IN,2022-01-27 04:32:57
90,Abu Samrah,35.3029,37.1841,36.7,95,100,16.31,SY,2022-01-27 04:32:57
91,Coquimbo,-29.9533,-71.3436,60.53,82,0,8.05,CL,2022-01-27 04:32:04
92,Albany,42.6001,-73.9662,6.67,65,5,2.1,US,2022-01-27 04:30:02
93,Rakiv Lis,51.6217,24.9243,32.61,97,100,12.66,UA,2022-01-27 04:33:03
94,Port Blair,11.6667,92.75,84.24,70,40,11.5,IN,2022-01-27 04:33:04
95,Uaua,-9.8414,-39.4817,70.74,89,99,8.9,BR,2022-01-27 04:33:04
96,Havoysund,70.9963,24.6622,27.48,75,100,5.44,NO,2022-01-27 04:33:05
97,Ponta Do Sol,32.6667,-17.1,59.0,77,57,6.76,PT,2022-01-27 04:33:05
98,Tasiilaq,65.6145,-37.6368,21.36,82,100,5.21,GL,2022-01-27 04:33:05
99,Bilma,18.6853,12.9164,49.26,44,5,8.39,NE,2022-01-27 04:33:06
100,Anadyr,64.75,177.4833,5.5,85,100,20.13,RU,2022-01-27 04:33:06
101,Garango,11.8,-0.5506,67.21,18,0,10.25,BF,2022-01-27 04:33:06
102,Coihaique,-45.5752,-72.0662,55.35,76,0,3.44,CL,2022-01-27 04:33:07
103,Barrow,71.2906,-156.7887,-11.18,70,40,17.27,US,2022-01-27 04:31:03
104,Nanortalik,60.1432,-45.2371,29.86,90,99,17.05,GL,2022-01-27 04:33:07
105,Kupino,54.3663,77.2981,-5.13,100,99,5.59,RU,2022-01-27 04:33:08
106,Severo-Kurilsk,50.6789,156.125,25.57,65,88,30.29,RU,2022-01-27 04:32:14
107,Avarua,-21.2078,-159.775,80.65,89,75,14.97,CK,2022-01-27 04:28:20
108,Te Anau,-45.4167,167.7167,63.77,33,18,4.68,NZ,2022-01-27 04:33:08
109,Haines Junction,60.7522,-137.5108,13.95,85,100,0.0,CA,2022-01-27 04:33:09
110,Asfi,32.2994,-9.2372,57.4,67,31,10.54,MA,2022-01-27 04:33:09
111,Mahebourg,-20.4081,57.7,81.25,73,40,8.05,MU,2022-01-27 04:33:10
112,Kutum,14.2,24.6667,47.08,32,99,10.45,SD,2022-01-27 04:33:10
113,Constitucion,-35.3333,-72.4167,56.57,93,5,5.01,CL,2022-01-27 04:33:10
114,Preobrazheniye,42.9019,133.9064,24.8,42,1,1.39,RU,2022-01-27 04:33:11
115,Tecolutla,20.4833,-97.0167,64.51,90,100,5.73,MX,2022-01-27 04:33:11
116,Sao Filipe,14.8961,-24.4956,73.38,73,95,13.13,CV,2022-01-27 04:33:12
117,Sumter,28.7086,-82.0831,58.84,87,100,9.55,US,2022-01-27 04:28:31
118,Beringovskiy,63.05,179.3167,0.88,97,100,5.95,RU,2022-01-27 04:33:12
119,Acapulco,16.8634,-99.8901,78.62,83,20,2.3,MX,2022-01-27 04:33:12
120,Santa Barbara,34.7333,-120.0343,50.99,88,0,0.0,US,2022-01-27 04:31:31
121,New Norfolk,-42.7826,147.0587,77.67,38,89,5.91,AU,2022-01-27 04:30:58
122,Bengkulu,-3.8004,102.2655,82.67,73,100,3.6,ID,2022-01-27 04:33:13
123,Flinders,-34.5833,150.8552,82.18,64,6,7.0,AU,2022-01-27 04:33:13
124,Los Llanos De Aridane,28.6585,-17.9182,55.13,74,75,5.99,ES,2022-01-27 04:33:14
125,Bani Walid,31.7566,13.9942,47.26,63,76,5.93,LY,2022-01-27 04:33:14
126,Margate,51.3813,1.3862,44.46,82,98,7.0,GB,2022-01-27 04:33:14
