City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Dingle,PH,10.9995,122.6711,78.4,85,47,5.21,scattered clouds
80,Pisco,PE,-13.7,-76.2167,73.45,73,75,3.44,broken clouds
81,Ahipara,NZ,-35.1667,173.1667,75.9,52,98,13.35,overcast clouds
82,Caravelas,BR,-17.7125,-39.2481,79.41,84,29,11.36,scattered clouds
83,Coquimbo,CL,-29.9533,-71.3436,64.13,82,0,11.5,clear sky
84,Quatre Cocos,MU,-20.2078,57.7625,78.91,82,100,16.84,light rain
85,Kalmanka,RU,52.8992,83.5433,9.7,94,64,3.0,broken clouds
86,Contamana,PE,-7.3333,-75.0167,72.63,96,100,2.73,overcast clouds
87,Makaryev,RU,57.8797,43.8069,9.93,98,91,5.75,overcast clouds
88,Ust-Maya,RU,60.4167,134.5333,-32.15,100,100,0.27,overcast clouds
89,Olinda,BR,-8.0089,-34.8553,83.93,74,75,10.36,broken clouds
90,Tasiilaq,GL,65.6145,-37.6368,8.76,53,98,8.77,overcast clouds
91,Buala,SB,-8.145,159.5921,85.28,69,99,4.45,light rain
92,Vanimo,PG,-2.6741,141.3028,76.8,89,100,6.69,light rain
93,Georgetown,MY,5.4112,100.3354,78.89,90,20,5.01,few clouds
94,Bull Savanna,JM,17.8868,-77.5902,70.07,81,60,10.33,broken clouds
95,Zemio,CF,5.0314,25.1361,67.48,30,97,3.22,overcast clouds
96,Arraial Do Cabo,BR,-22.9661,-42.0278,74.23,92,94,6.76,overcast clouds
97,Mingguang,CN,32.7802,117.9638,35.87,78,96,4.7,overcast clouds
98,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.58,92,28,4.36,scattered clouds
99,Pevek,RU,69.7008,170.3133,-16.64,99,96,1.57,overcast clouds
100,Faranah,GN,10.0404,-10.7434,75.88,18,4,4.79,clear sky
101,Paamiut,GL,61.994,-49.6678,16.02,85,100,9.89,snow
102,Shu,KZ,43.5983,73.7614,29.12,84,66,3.24,broken clouds
103,Uch,FR,45.3192,-0.9345,46.6,92,95,6.62,overcast clouds
104,Moerai,PF,-22.4333,-151.3333,80.35,74,28,13.2,scattered clouds
105,Marsala,IT,37.7966,12.4352,55.99,94,40,16.11,scattered clouds
106,Pierre,US,44.3683,-100.351,40.12,52,0,1.01,clear sky
107,Beloha,MG,-25.1667,45.05,72.25,77,83,15.52,broken clouds
108,Meiktila,MM,20.8667,95.8667,55.62,47,5,5.66,clear sky
109,Trelew,AR,-43.249,-65.3051,61.03,29,69,7.18,broken clouds
110,Tuzha,RU,57.6062,47.936,14.65,96,99,5.35,overcast clouds
111,Sinnamary,GF,5.3833,-52.95,76.26,88,44,12.86,scattered clouds
112,Yenagoa,NG,4.9247,6.2642,73.78,71,64,1.54,broken clouds
113,Manzanillo,CU,20.3433,-77.1167,68.18,66,100,13.87,overcast clouds
114,Nikolskoye,RU,59.7035,30.7861,27.39,96,100,5.3,light snow
115,Port Elizabeth,ZA,-33.918,25.5701,70.09,94,20,11.5,few clouds
116,Cabo San Lucas,MX,22.8909,-109.9124,77.61,69,83,7.63,broken clouds
117,Homer,US,59.6425,-151.5483,24.67,84,40,3.44,scattered clouds
118,Buncrana,IE,55.1333,-7.45,42.6,73,83,26.82,broken clouds
119,Elizabeth City,US,36.2946,-76.2511,35.02,56,0,3.44,clear sky
120,Geraldton,AU,-28.7667,114.6,73.81,78,40,11.5,scattered clouds
121,Salalah,OM,17.0151,54.0924,68.09,77,0,5.75,clear sky
122,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,36,20,10.36,few clouds
123,Nabire,ID,-3.3667,135.4833,78.28,78,100,2.39,overcast clouds
124,Kapaa,US,22.0752,-159.319,80.47,73,0,1.99,clear sky
125,Natal,BR,-5.795,-35.2094,79.45,94,20,5.75,few clouds
126,Cape Town,ZA,-33.9258,18.4232,72.12,78,0,3.0,clear sky
127,Ozinki,RU,51.1786,49.6769,17.17,98,86,7.23,overcast clouds
